232.658 xcp_udp:../genio/genio/file.cpp(35): open /fl/Lr0_5501 No such file or directory
232.658 xcp_udp:../xcp/e7.cpp(148): ERR errno=2 
232.709 xcp_udp:../stream/execute.cpp(432): log_erase 0
232.722 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
232.768 xcp_udp:../logging/logging_stream.cpp(330): logging_stream_consolidate begin size=4188
232.798 xcp_udp:../logging/logging_stream.cpp(415): logging_stream_consolidate end size=4188
232.806 xcp_udp:../logging/metadata.cpp(260): logging_metadata_consolidate begin size=142604
232.807 xcp_udp:../logging/metadata.cpp(266): skip consolidate: only 1 metadata
233.742 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
234.762 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
235.782 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
236.782 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
237.802 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
238.822 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
239.842 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
240.862 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
241.862 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
242.209 xcp_udp:../xcp/eth.cpp(145): XCP connection closed
242.862 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
243.882 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
244.902 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
245.922 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
246.942 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
247.942 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
248.962 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
249.982 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
250.982 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
252.002 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
253.022 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
254.042 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
255.042 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
256.062 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
257.082 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
258.102 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
259.102 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
260.102 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
261.122 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
262.122 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
263.142 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
264.142 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
265.162 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
266.182 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
267.182 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
268.202 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
269.222 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
270.242 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
271.262 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
272.282 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
273.282 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
274.302 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
275.302 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
276.322 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
277.342 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
278.362 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
279.382 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
280.402 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
281.402 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
282.422 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
283.442 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
284.442 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
285.462 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
286.462 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
287.482 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
288.482 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
289.482 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
290.482 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
291.502 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
292.522 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
293.522 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
294.542 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
295.542 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
296.562 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
297.582 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
298.582 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
299.582 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
300.582 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
301.602 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
302.602 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
303.622 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
304.622 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
305.642 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
306.662 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
307.662 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
308.682 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
309.702 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
310.722 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
311.742 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
312.742 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
313.762 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
314.762 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
315.782 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
316.782 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
317.782 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
318.802 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
319.822 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
320.842 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
321.842 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
322.862 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
323.862 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
324.882 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
325.902 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
326.902 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
327.922 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
328.922 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
329.942 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
330.962 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
331.962 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
332.982 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
334.002 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
335.022 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
336.022 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
337.042 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
338.042 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
339.062 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
340.062 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
341.062 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
342.082 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
343.082 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
344.102 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
345.122 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
346.122 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
347.122 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
348.122 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
349.142 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
350.162 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
351.182 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
352.182 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
353.202 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
354.202 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
355.222 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
356.222 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
357.222 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
358.222 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
359.242 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
360.262 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
361.282 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
362.302 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
363.322 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
364.342 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
365.362 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
366.362 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
367.382 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
368.402 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
369.422 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
370.422 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
371.442 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
372.442 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
373.462 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
374.462 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
375.482 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
376.482 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
377.482 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
378.502 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
379.502 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
380.522 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
381.522 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
382.522 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
383.542 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
384.542 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
385.562 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
386.582 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
387.602 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
388.602 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
389.602 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
390.622 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
391.622 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
392.642 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
393.662 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
394.682 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
395.702 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
396.702 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
397.722 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
398.722 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
399.742 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
400.742 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
401.762 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
402.762 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
403.762 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
404.782 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
405.802 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
406.822 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
407.842 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
408.862 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
409.862 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
410.882 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
411.882 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
412.902 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
413.902 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
414.922 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
415.942 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
416.962 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
417.982 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
418.982 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
420.002 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
421.022 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
422.022 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
423.022 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
424.042 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
425.042 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
426.062 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
427.062 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
428.062 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
429.082 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
430.082 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
431.102 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
432.122 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
433.142 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
434.162 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
435.182 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
436.202 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
437.202 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
438.222 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
439.242 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
440.262 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
441.262 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
442.262 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
443.282 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
444.282 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
445.282 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
446.302 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
447.302 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
448.302 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
449.302 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
450.302 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
451.302 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
452.322 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
453.322 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
454.342 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
455.362 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
456.362 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
457.382 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
458.402 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
459.402 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
460.422 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
461.442 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
462.462 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
463.482 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
464.502 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
465.502 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
466.502 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
467.522 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
468.542 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
469.562 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
470.582 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
471.602 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
472.622 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
473.642 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
474.662 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
475.662 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
476.682 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
477.702 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
478.722 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
479.722 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
480.742 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
481.742 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
482.762 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
483.762 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
484.762 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
485.762 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
486.782 50Hz_Trigge:ecu_can_rx.c(77): CanComms.RxMessage: bad handle
