168.388 xcp_udp:../genio/stream_info.cpp(524): ctx 00000002 Size=224
169.202 100Hz_Trigg:0x15347c:SDK:17:CAN_IOC_MSG_RX Operation timed out
171.349 xcp_udp:../genio/stream_info.cpp(524): ctx 00000780 Size=304
171.462 100Hz_Trigg:0x15347c:SDK:16:CAN_IOC_MSG_RX Operation timed out
172.822 100Hz_Trigg:0x15347c:SDK:16:CAN_IOC_MSG_RX Operation timed out
173.912 100Hz_Trigg:0x15347c:SDK:16:CAN_IOC_MSG_RX Operation timed out
175.502 100Hz_Trigg:0x15347c:SDK:17:CAN_IOC_MSG_RX Operation timed out
183.252 100Hz_Trigg:0x15347c:SDK:17:CAN_IOC_MSG_RX Operation timed out
184.842 100Hz_Trigg:0x15347c:SDK:17:CAN_IOC_MSG_RX Operation timed out
186.102 100Hz_Trigg:0x15347c:SDK:17:CAN_IOC_MSG_RX Operation timed out
187.032 100Hz_Trigg:0x15347c:SDK:16:CAN_IOC_MSG_RX Operation timed out
187.332 100Hz_Trigg:0x15347c:SDK:16:CAN_IOC_MSG_RX Operation timed out
187.412 100Hz_Trigg:0x15347c:SDK:16:CAN_IOC_MSG_RX Operation timed out
192.912 100Hz_Trigg:0x15347c:SDK:16:CAN_IOC_MSG_RX Operation timed out
194.362 100Hz_Trigg:0x15347c:SDK:16:CAN_IOC_MSG_RX Operation timed out
194.812 100Hz_Trigg:0x15347c:SDK:16:CAN_IOC_MSG_RX Operation timed out
196.562 100Hz_Trigg:0x15347c:SDK:16:CAN_IOC_MSG_RX Operation timed out
197.142 100Hz_Trigg:0x15347c:SDK:17:CAN_IOC_MSG_RX Operation timed out
199.032 100Hz_Trigg:0x15347c:SDK:16:CAN_IOC_MSG_RX Operation timed out
199.542 100Hz_Trigg:0x15347c:SDK:17:CAN_IOC_MSG_RX Operation timed out
203.482 100Hz_Trigg:0x15347c:SDK:16:CAN_IOC_MSG_RX Operation timed out
203.842 100Hz_Trigg:0x15347c:SDK:17:CAN_IOC_MSG_RX Operation timed out
205.652 100Hz_Trigg:0x15347c:SDK:18:CAN_IOC_MSG_RX Operation timed out
205.932 100Hz_Trigg:0x15347c:SDK:16:CAN_IOC_MSG_RX Operation timed out
208.832 100Hz_Trigg:0x15347c:SDK:16:CAN_IOC_MSG_RX Operation timed out
210.782 100Hz_Trigg:0x15347c:SDK:16:CAN_IOC_MSG_RX Operation timed out
